variant	file	line	matched_text
yet you classic	context/interviews-history/transcripts/jennifer_jones.txt	1	yet you classic
you tastic	context/interviews-history/transcripts/jennifer_jones.txt	1	you tastic
you tastic	context/interviews-history/transcripts/sam_serpoosh.txt	1	you tastic
you tastic	context/interviews-history/transcripts/interview_with_jonathon_kresner_founder_airpair_at_railsconf_2014.txt	1	you tastic
you classic	context/interviews-history/transcripts/interview_with_alexandra_masterson_goto_chicago_2015.txt	11	you classic
you tastic	context/interviews-history/transcripts/interview_with_gil_tene_-_azul_cto_javaone_rock_star_goto_chicago_2015_-_faster_java_objects.txt	1	you tastic
you tastic	context/interviews-history/transcripts/interview_with_niley_barros_an_organizer_with_goto_chicago_2014.txt	1	you tastic
utah state com	context/interviews-history/transcripts/interview_with_niley_barros_an_organizer_with_goto_chicago_2014.txt	53	Utah State com
you tastic	context/interviews-history/transcripts/justin_searls.txt	1	you tastic
you tastic	context/interviews-history/transcripts/interview_with_ray_hightower_announcing_rubycaribe_at_railsconf_2014.txt	1	you tastic
utah state com	context/interviews-history/transcripts/interview_with_ray_hightower_announcing_rubycaribe_at_railsconf_2014.txt	33	Utah State com
you tastic	context/interviews-history/transcripts/interview_with_obie_fernandez_author_the_rails_way_co-founder_hashrocket_at_railsconf_20143gp.txt	1	you tastic
you tess	context/interviews-history/transcripts/interview_with_obie_fernandez_author_the_rails_way_co-founder_hashrocket_at_railsconf_20143gp.txt	59	you Tess
you tastic	context/interviews-history/transcripts/interview_with_chris_whitaker_a_regional_director_w-code_for_america.txt	1	you tastic
utah state com	context/interviews-history/transcripts/interview_with_chris_whitaker_a_regional_director_w-code_for_america.txt	71	Utah State com
you tastic	context/interviews-history/transcripts/interview_with_farrah_bostic_founder_the_difference_engine_and_a_keynoter_at_railsconf_2014.txt	1	you tastic
yet you classic	context/interviews-history/transcripts/dan_north.txt	1	yet you classic
you tasik	context/interviews-history/transcripts/dan_north.txt	1	you tasik
yet you classic	context/interviews-history/transcripts/micah_martin.txt	1	yet you classic
you tess	context/interviews-history/transcripts/micah_martin.txt	1	you Tess
you tastic	context/interviews-history/transcripts/interview_with_martin_atkins_at_chicagowebconf_2013.txt	1	you tastic
you task	context/interviews-history/transcripts/interview_with_cindy_sprague_a_lead_organizer_with_goto_chicago_2014.txt	1	you task
utah state com	context/interviews-history/transcripts/interview_with_cindy_sprague_a_lead_organizer_with_goto_chicago_2014.txt	55	Utah State com
you tastic	context/interviews-history/transcripts/ryan_singer.txt	1	you tastic
you tastic	context/interviews-history/transcripts/interview_with_rebecca_parsons_goto_chicago_2015.txt	1	you tastic
